x1,x2
-0.2015173,-0.6833582
0.37451947,-0.8280822
-0.16189468,-1.2471066
0.037710957,-0.047302842
-0.26047906,1.770204
0.39217335,0.7262509
-0.595546,-1.4548001
-1.2124729,-1.2988459
-0.62402,-1.270223
0.5353097,1.390765
1.4814519,3.579631
1.2141826,3.587063
3.8623366,4.2972736
4.205326,4.9409523
4.3041506,5.8463483
2.5081396,4.4804144
1.9347998,3.663017
2.211607,4.263404
3.1851852,4.6804123
2.2065609,3.7271812
4.572374,6.4975176
2.637779,4.8631096
4.522715,6.1088676
3.3148954,6.9001
6.7549396,9.133338
3.4757779,6.089272
4.326521,7.821588
3.0818818,5.045526
4.10377,5.597295
4.0034175,5.902063
8.99092,17.243813
9.838419,18.3177
9.40111,17.558596
11.066354,19.794117
11.447869,18.734001
9.917442,18.279497
9.279882,16.0865
8.04521,17.202364
10.502788,18.360403
10.748184,18.321587
